1146_at	CD4	56.3	15.5	8	33.3	34.7	32.2	11.6	20.6	20.3	40.1	58.7	11.3	18.4	5.2	26.6	6.8	49	18.8	89.8	47.5	36.8	
1148_s_at	NRG1	28	23.2	20.8	19.2	31.6	28.6	24.6	25.3	32	26.1	7.3	57.4	11.5	14.1	25.8	13.8	54.4	13.8	127.9	56.6	35.8	
1152_i_at	CGB2	5.6	4.4	0.7	5.3	1.5	17.1	9.5	5.8	5.8	6.4	6.1	28.6	1.2	0.7	14.1	14.3	4.4	5.8	4.2	0.9	7.3	
1157_s_at	IFNAR1	33.9	37.6	33.2	35.1	31.6	32.8	31.9	23.8	45.4	21.1	9.4	5.7	16.9	25.4	24.1	21.3	28.3	9.2	40.3	7.6	39.1	
1158_s_at	CALM3	277.6	293.8	379	197.2	179.1	149.8	142	287.8	146.4	330.1	247.6	202.7	270	348.9	293.5	216.6	158.4	247.6	328.3	144.7	324.7	
1159_at	IL7	30.6	27.5	35.8	30.1	17.8	47.6	43.2	25.9	33.5	44.1	12.2	26.6	13.3	6.3	39.6	47.9	30.1	28.5	25.7	22.5	16.8	
1161_at	HSP90AB1	1936.1	1919.5	2240	1778	2135.4	2432.8	2211.8	2157.8	1195.7	1879.8	1328.5	1779.2	2802.8	2397.7	2116.5	1501.7	1630.6	2265.3	784.4	1389.3	1035.2	
1167_s_at	MMP15	165.5	181.9	174	155.3	268	132.7	92.5	174	196.3	162.3	149.8	331.1	149.3	117.9	184.5	156.8	290.5	197.2	161	163.7	113.5	
1168_at	PCDHB17	13.9	14.2	17.9	7.4	25.8	19.7	6	16.6	13.4	25.4	11.2	21.9	2.7	8.1	9.1	15.5	38.3	12.6	6.2	31.7	6	
116_at	PRKAR2A	28.4	21.5	21.1	21.5	18.3	14.1	12	17.6	18.8	57.8	31.4	42.3	20.2	24	18	8.5	34.6	27.9	6.4	22.7	31.3	
1173_g_at	SAT1	506.1	602	1505.8	1185.9	973.3	1360.4	1077.7	992.7	1325	1575	2942.4	2626.5	722	707.6	862.4	1289.6	695.9	629.8	4377.1	692.5	1226.2	
1174_at	MOS	1.6	2.1	4.3	2	1.4	2.3	3.3	2.3	3.9	4	3.9	3	2.5	0.8	3.4	10.1	4.8	3.8	2	3.9	1.9	
1179_at	HSPA8	1657	1100.7	822.2	1858.2	1417.4	2558.4	1487.7	1202.7	1452.2	1670.5	1384	2103.8	1091.2	1508.9	1036.1	1234.6	1247	1713.4	875.8	1239.8	486.7	
1184_at	PSME2	458.6	245.9	383.3	328.6	306.7	294.6	498	258.9	341.8	326	350.2	257.1	587.7	363	341.3	335.4	243.9	300	492.2	431.1	398.2	
1185_at	IL3RA	68.8	49.3	14.5	66.8	136.5	58.2	40.8	15.3	60.7	54.1	9.4	110.6	25	14.7	37.1	14.5	160.3	65.9	56.1	18.2	51.9	
1186_at	GDF10	6.8	3.2	6.1	5.2	4.8	4	3.7	2.3	5.3	5.6	3.3	3.8	1.7	3.8	9.2	1.2	16.4	2.3	4.6	1.2	1.8	
1189_at	CDK8	72.5	64.8	65.5	52.6	77.1	81.3	67.1	65.9	58.8	97.1	85.1	44.2	53	46	78.8	54.3	83.1	85.1	45	71.3	43.3	
118_at	ITPKA	24.9	9.4	4.1	5.6	7.9	3.7	34.5	31.6	5.5	9.1	6.8	7.5	43.5	5.1	9.8	4.7	14.9	10.1	7.4	11.2	7.9	
1190_at	PTPRO	66.5	58.7	44.4	69.7	37	115	26.7	72	43.6	42.9	57.7	2.4	25.6	47.6	2.1	44	39	83.8	33.3	66.8	31.5	
1192_at	PSMD12	37.1	59.2	44.4	77.8	64.1	78.9	80.5	61.4	86.3	53.6	29.5	49.1	29.9	56.7	40.7	48.6	103.1	98.8	52	38.7	56.8	
1193_at	UBE3A	32.7	6.7	14.3	5.7	9.8	7.7	6.1	8.6	10.3	9.3	10	14.2	8.3	5.4	6.7	7.7	33.7	7.7	8.4	15.6	11.7	
1195_s_at	ITGB1BP1	21.3	8.1	21.8	27.6	36.4	44.9	29	27.3	43.6	42.5	20	35.6	40.8	37.6	18.3	18.8	66.2	22	13.9	5.4	37.9	
1196_at	RCC1	41	92.9	10.9	58.4	68.5	66.4	53.2	65.4	71.6	94	82.5	65.2	39.9	50.4	73.7	38.8	100.5	60.3	49.9	60.6	58.2	
1197_at	ACTG2	3.5	11	11.4	1.6	3.7	2.6	1.7	1.2	13.4	5	1.2	16.5	1.1	2.7	1.8	5.1	3	4.1	11.1	3.1	8.3	
1200_at	GLI2	10.8	19.7	9.8	6.5	36.6	7.8	4.5	9.7	26.5	7.5	5.1	50.6	7.2	9.1	7.6	7.3	74.8	18.6	8.5	13.4	29.3	
1202_g_at	RAB33A	10.2	36.4	33.3	14.2	17.2	40.3	30.7	39.9	55.2	14	8.6	21	9.9	16	9.4	21.9	56.6	31.3	14.5	47.3	14.5	
1203_at	INHBA	2.6	10.2	8.4	2.6	4.4	10	2.1	8.6	5.2	13.5	3.6	3.5	3.5	2.3	3.3	0.9	5.9	2.2	5.5	3.4	12	
1205_at	D26528	12.1	8	1.7	3.6	6	1.9	5.6	2.1	2.7	7.8	4.2	2	1.7	10.7	10.9	7.1	3.1	5.7	1.8	29.5	1.8	
1206_at	CDK5	56.9	10.8	31.3	34.2	12.5	7.3	19.4	37	12.4	13.3	56.9	12.8	53.8	10.1	24.5	22.3	5.2	6.9	11.6	49.4	12.2	
1207_at	CDK6	17.6	35.3	34.7	14.9	38.5	24.7	19.6	28.4	6.5	50.9	6.7	107.7	4.7	16.3	9.7	17.1	96.3	20.7	70.5	15.4	31.3	
1209_at	TRAF6	39.4	31.8	25.9	22.5	33.5	42.5	33.8	13.4	34.5	34.8	25.5	37.2	22.3	27.9	28.6	35.2	9.3	28.9	21.2	50.4	27.3	
